,cast,directors,genres,movie_id,original_title,plot,writers
3316,"['Paul Gross', 'Molly Parker', 'Leslie Nielsen']",,['Comedy'],34341,Men with Brooms,"A witty and clever comedy that follows four longtime curling friends reunited by the last wishes of their recently deceased coach and set out to win the Golden Broom. Realising that the out of shape crew will be hard-pressed to win without a coach, Cutter swallows his pride and calls upon a retired curling champion - his estranged father. Now, these men with brooms, along with their new eccentric coach and Cutter's new romantic interest Amy, set off on a comedic journey which takes them from frozen lakes to huge arenas, searching for perfect stones, lost loves and second chances. ",
3317,"['Larry the Cable Guy', 'Ivana Miličević', 'Jenny McCarthy']",,"['Action', 'Adventure', 'Comedy']",15365,Witless Protection,The story centers on a small-town sheriff who witnesses what he believes is a kidnapping and rushes to rescue a woman. The kidnappers turn out to be FBI agents assigned to protect her and deliver her to a big Enron-type corruption trial in Chicago but are later found to be on the take and are villains who are bent on killing her ,
3318,"['Sam Hennings', 'Brenda Strong', 'Eric Johnson']",,"['Drama', 'Romance']",36046,The Work and the Glory,"When Benjamin Steed and Mary Ann Steed relocate their family to upstate New York in the early 1800's, they unwittingly settle in a town divided along religious lines. After their new hired help turns out to be at the center of the uproar, each member of the Steed family must come to terms with their own beliefs in the face of heavy persecution. Together they struggle to weather the raging controversy surrounding a young man named Joseph Smith. ",
3319,"['Jason Bateman', 'Mila Kunis', 'Kristen Wiig']",,['Comedy'],12569,Extract,"The owner of a factory that produces flavor extracts, Joel Reynold seems to have it all, but really doesn't. What's missing is sexual attention from his wife, Suzie. Joel hatches a convoluted plan to get Suzie to cheat on him, thereby clearing the way for Joel to have an affair with Cindy, an employee. But what Joel doesn't know is that Cindy is a sociopathic con artist, and a freak workplace accident clears the way for her to ruin Joel forever. ",
3320,"['Bob Dylan', 'Jeff Bridges', 'Penélope Cruz']",,"['Drama', 'Music']",24356,Masked and Anonymous,"Amidst unrest, organizers put on a benefit concert. ",
3321,"['Sandrine Kiberlain', 'Nicole Garcia', 'Mathilde Seigner']",,"['Drama', 'Thriller', 'Crime']",55903,Betty Fisher et autres histoires,"Grieving after the death of her young son Joseph, novelist Betty Fisher enters a dark depression. Hoping to bring her out of it, her mother Margot arranges to kidnap another child, Jose, to replace the son Betty lost. Although she knows it's wrong, Betty accepts Jose as her new son. Meanwhile, Jose's mother Carole is looking for her son with the help of her boyfriend Francois and some of his criminal cohorts. ",
3322,"['Tim Robbins', 'Samantha Morton', 'Nabil Elouahabi']",,"['Drama', 'Romance', 'Science Fiction']",2577,Code 46,"A futuristic 'Brief Encounter', a love story in which the romance is doomed by genetic incompatibility. ",
3323,"['Bob Hoskins', 'Jenny Agutter', 'Phil Davis']",,['Comedy'],103903,Outside Bet,A group of print workers in 1980s London club together to buy a race horse. ,
3324,"['Glenn Close', 'Mia Wasikowska', 'Aaron Taylor-Johnson']",,['Drama'],73873,Albert Nobbs,"Albert Nobbs struggles to survive in late 19th century Ireland, where women aren't encouraged to be independent. Posing as a man, so she can work as a butler in Dublin's most posh hotel, Albert meets a handsome painter and looks to escape the lie she has been living. ",
3325,"['Razaaq Adoti', 'Sarah Wayne Callies', 'Mickey Rourke']",,"['Drama', 'Action', 'Crime']",312113,Black November,"A volatile, oil-rich Nigerian community wages war against their corrupt government and a multi-national oil corporation to protect their land from being destroyed by excessive drilling and spills.  To seek justice, a rebel organization kidnaps an American oil executive and demands that his corporation end the destruction and pollution.  Inspired by true events, Black November is the gripping story of how a community rises up and takes drastic measures to make sure their voices are heard. ",
3326,"['Saif Ali Khan', 'Rani Mukerji', 'Angelina Idnani']",,"['Family', 'Comedy', 'Romance']",14165,Ta Ra Rum Pum,"A poor New York resident, who is of Indian origin, dreams of becoming a fast car race driver. He endeavors, and his efforts are rewarded when he selected by a little-known group called 'RACING SADDLES'. He joins them and soon becomes their ace race driver. This man, whose name is Rajveer, then meets with a rich American woman, also of Indian origin, whose name is Radhika.  Both fall in love with each other. They cannot get married, because Radhika's family hates Rajveer mainly because he is very poor. But Radhika is very stubborn, so she marries him. She loses all her rights to her family's wealth. They get married and become parents of two children. They also become very rich. Then Rajveer has an accident which changes their lives forever. They get into debt and stand to lose everything. Will Radhika be forced to return back to her family? ",
3327,"['Chiara Mastroianni', 'Danielle Darrieux', 'Catherine Deneuve']",,"['Animation', 'Drama']",2011,Persepolis,"In 1970s Iran, Marjane 'Marji' Statrapi watches events through her young eyes and her idealistic family of a long dream being fulfilled of the hated Shah's defeat in the Iranian Revolution of 1979. However as Marji grows up, she witnesses first hand how the new Iran, now ruled by Islamic fundamentalists, has become a repressive tyranny on its own. ",
3328,"['Chris Massoglia', 'Haley Bennett', 'Nathan Gamble']",,"['Thriller', 'Adventure', 'Fantasy']",45650,The Hole,"After moving into a new neighbourhood, brothers Dane &amp; Lucas and their neighbour Julie discover a bottomless hole in the basement of their home. They find that once the hole is exposed, evil is unleashed. With strange shadows lurking around every corner and nightmares coming to life, they are forced to come face to face with their darkest fears to put an end to the mystery of THE HOLE. ",
3329,"['Jürgen Vogel', 'Frederick Lau', 'Max Riemelt']",,"['Drama', 'Thriller']",7735,Die Welle,A school teacher discusses types of government with his class. His students find it too boring to repeatedly go over national socialism and believe that dictatorship cannot be established in modern Germany. He starts an experiment to show how easily the masses can become manipulated. ,
3330,"['Elle Fanning', 'Karl Glusman', 'Jena Malone']",,"['Thriller', 'Horror']",301365,The Neon Demon,"When aspiring model Jesse moves to Los Angeles, her youth and vitality are devoured by a group of beauty-obsessed women who will take any means necessary to get what she has. ",
3331,"['Michael Caine', 'Emily Mortimer', 'Iain Glen']",,"['Thriller', 'Crime', 'Drama']",25941,Harry Brown,An elderly ex-serviceman and widower looks to avenge his best friend's murder by doling out his own form of justice. ,
3332,"['Casper Van Dien', 'Michael York', 'Catherine Oxenberg']",,"['Horror', 'Thriller']",29064,The Omega Code,"In this spiritual thriller, an ancient prophecy is about to be fulfilled as a secret code brings the world to the edge of Apocalypse. Gillen Lane (Casper Van Dien) is a expert on theology and mythology who has gained international fame as a motivational speaker. ",
3333,"['Ellen Page', 'Michael Cera', 'Jennifer Garner']",,"['Comedy', 'Drama', 'Romance']",7326,Juno,"A young girl named Juno gets herself pregnant and tries to stand on her own, but soon learns a few lessons about being grown up. ",
3334,"['Jean-Claude Van Damme', 'John Ralston', 'Darren Shahlavi']",,['Action'],326284,Pound of Flesh,"In China to donate his kidney to his dying niece, former black-ops agent Deacon awakes the day before the operation to find he is the latest victim of organ theft. Stitched up and pissed-off, Deacon descends from his opulent hotel in search of his stolen kidney and carves a blood-soaked path through the darkest corners of the city. The clock is ticking for his niece and with each step he loses blood. ",
3335,"['Sean Connery', 'Jill St. John', 'Charles Gray']",,"['Adventure', 'Action', 'Thriller']",681,Diamonds Are Forever,Diamonds are stolen only to be sold again in the international market. James Bond infiltrates a smuggling mission to find out who’s guilty. The mission takes him to Las Vegas where Bond meets his archenemy Blofeld. ,
3336,"['Marlon Brando', 'Al Pacino', 'James Caan']",,"['Drama', 'Crime']",238,The Godfather,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge. ",
3337,"['Jennifer Beals', 'Michael Nouri', 'Lilia Skala']",,"['Drama', 'Music', 'Romance']",535,Flashdance,The popular 1980’s dance movie that depicts the life of an exotic dancer with a side job as a welder who true desire is to get into ballet school. It’s her dream to be a professional dancer and now is her chance. The film has a great soundtrack with an Oscar winning song. ,
3338,"['Joseph Gordon-Levitt', 'Zooey Deschanel', 'Chloë Grace Moretz']",,"['Comedy', 'Drama', 'Romance']",19913,(500) Days of Summer,"Tom (Joseph Gordon-Levitt), greeting-card writer and hopeless romantic, is caught completely off-guard when his girlfriend, Summer (Zooey Deschanel), suddenly dumps him. He reflects on their 500 days together to try to figure out where their love affair went sour, and in doing so, Tom rediscovers his true passions in life. ",
3339,"['Holly Hunter', 'Harvey Keitel', 'Sam Neill']",,"['Drama', 'Romance']",713,The Piano,"After a long voyage from Scotland, pianist Ada McGrath and her young daughter, Flora, are left with all their belongings, including a piano, on a New Zealand beach. Ada, who has been mute since childhood, has been sold into marriage to a local man named Alisdair Stewart. Making little attempt to warm up to Alisdair, Ada soon becomes intrigued by his Maori-friendly acquaintance, George Baines, leading to tense, life-altering conflicts. ",
3340,"['Channing Tatum', 'Matthew McConaughey', 'Alex Pettyfer']",,"['Drama', 'Comedy']",77930,Magic Mike,"Mike, an experienced stripper, takes a younger performer called The Kid under his wing and schools him in the arts of partying, picking up women, and making easy money. ",
3341,"['Chaney Kley', 'Emma Caulfield', 'Lee Cormie']",,"['Thriller', 'Horror']",10727,Darkness Falls,"A vengeful spirit has taken the form of the Tooth Fairy to exact vengeance on the town that lynched her 150 years earlier. Her only opposition is the only child, now grown up, who has survived her before ",
3342,"['Roger Moore', 'Yaphet Kotto', 'Jane Seymour']",,"['Adventure', 'Action', 'Thriller']",253,Live and Let Die,James Bond must investigate a mysterious murder case of a British agent in New Orleans. Soon he finds himself up against a gangster boss named Mr. Big. ,
3343,"['Frankie Muniz', 'Diane Lane', 'Kevin Bacon']",,"['Comedy', 'Drama', 'Family']",17908,My Dog Skip,"A shy boy is unable to make friends in Yazoo City, Mississippi in 1942, until his parents give him a terrier puppy for his ninth birthday. The dog, which he names Skip, becomes well known and loved throughout the community and enriches the life of the boy, Willie, as he grows into manhood. Based on the best-selling Mississippi memoir by the late Willie Morris. ",
3344,"['Ryan Reynolds', 'Abigail Breslin', 'Elizabeth Banks']",,"['Comedy', 'Romance']",8390,"Definitely, Maybe","When Will decides to tell his daughter the story of how he met her mother, he discovers that a second look at the past might also give him a second chance at the future. ",
3345,"['Paula Patton', 'Julie Bowen', 'Meagan Good']",,['Comedy'],57119,Jumping the Broom,Two very different families converge on Martha's Vineyard one weekend for a wedding. ,
3346,"['David Strathairn', 'Jeff Daniels', 'Alex Borstein']",,"['Drama', 'History']",3291,"Good Night, and Good Luck.","The story of journalist, Edward R Murrow's stand against Senator McCarthy's anti-communist witch-hunts in the early 1950s. ",
3347,"['Philip Seymour Hoffman', 'Allie Mickelson', 'Craig Archibald']",,"['Crime', 'Drama']",398,Capote,"A biopic of the writer, Truman Capote and his assignment for The New Yorker to write the non-fiction book, 'In Cold Blood'. ",
3348,"['Antonio Banderas', 'Salma Hayek', 'Joaquim de Almeida']",,"['Thriller', 'Action', 'Crime']",8068,Desperado,A gunslinger is embroiled in a war with a local drug runner. ,
3349,"['Michael York', 'Richard Jordan', 'Jenny Agutter']",,"['Adventure', 'Action', 'Romance']",10803,Logan's Run,"An idyllic sci-fi future has one major drawback: All citizens get a chance of being 'renewed' in a Civic Ceremony at their 30th birthday, unless they run and escape before their time comes. ",
3350,"['Roger Moore', 'Christopher Lee', 'Britt Ekland']",,"['Adventure', 'Action', 'Thriller']",682,The Man with the Golden Gun,A golden bullet has 007 engraved on it as it smashes into the secret service headquarters. The bullet came from the professional killer Scaramanga who has yet to miss a target and James Bond begins a mission to try and stop him. ,
3351,"['Carl Weathers', 'Craig T. Nelson', 'Vanity']",,"['Action', 'Adventure', 'Comedy']",10117,Action Jackson,Vengence drives a tough Detroit cop to stay on the trail of a power hungry auto magnate who's systematically eliminating his competition. ,
3352,"['Shauna Macdonald', 'Natalie Mendoza', 'Alex Reid']",,"['Adventure', 'Horror']",9392,The Descent,"After a tragic accident, six friends reunite for a caving expedition. Their adventure soon goes horribly wrong when a collapse traps them deep underground and they find themselves pursued by bloodthirsty creatures. As their friendships deteriorate, they find themselves in a desperate struggle to survive the creatures and each other. ",
3353,"['Michael Jordan', 'Phil Jackson', 'Bob Costas']",,['Documentary'],24977,Michael Jordan to the Max,"This documentary showcases basketball player Michael Jordan's awe-inspiring moves, providing behind-the-scenes and on-the-court action, including footage of Jordan and the Chicago Bulls going head-to-head against the Utah Jazz in the 1997 NBA Finals. Phil Jackson and Bob Costas are interviewed (among others), and the awesome soundtrack includes songs by Earth, Wind and Fire, Fatboy Slim and Freddie King. ",
3354,"['Allison Miller', 'Zach Gilford', 'Sam Anderson']",,['Horror'],79316,Devil's Due,An unexpected pregnancy takes a terrifying turn for newlyweds Zach and Samantha McCall. ,
3355,"['Ben Stiller', 'Patricia Arquette', 'Téa Leoni']",,"['Comedy', 'Romance']",2074,Flirting with Disaster,"Adopted as a child, new father Mel Colpin (Ben Stiller) decides he cannot name his son until he knows his birth parents, and determines to make a cross-country quest to find them. Accompanied by his wife, Nancy (Patricia Arquette), and an inept yet gorgeous adoption agent, Tina (Tea Leoni), he departs on an epic road trip that quickly devolves into a farce of mistaken identities, wrong turns, and overzealous and love-struck ATF agents (Josh Brolin, Richard Jenkins). ",
3356,"['Sid Haig', 'Bill Moseley', 'Sheri Moon Zombie']",,"['Drama', 'Horror', 'Crime']",1696,The Devil's Rejects,"The sequel to House of 1000 Corpses – the Firefly family are ambushed at their isolated home by Sheriff Wydell and a squad of armed men guns blazing – yet only Otis and his sister, Baby, manage to escape the barrage of bullets unharmed. Hiding out in a backwater motel, the wanted siblings wait to rendezvous with their errant father, Captain Spaulding, killing whoever happens to stand in their way. ",
3357,"['Shameik Moore', 'Kiersey Clemons', 'Tony Revolori']",,"['Crime', 'Drama', 'Comedy']",308639,Dope,"Malcolm is carefully surviving life in a tough neighborhood in Los Angeles while juggling college applications, academic interviews, and the SAT. A chance invitation to an underground party leads him into an adventure that could allow him to go from being a geek, to being dope, to ultimately being himself. ",
3358,"['Omar Epps', 'LL Cool J', 'Nia Long']",,"['Drama', 'Action', 'Thriller']",22314,In Too Deep,A fearless cop is taking on a ruthless crimelord. He knew the risks. He just didn't know how far he would have to go. ,
3359,"['Sid Haig', 'Bill Moseley', 'Sheri Moon Zombie']",,['Horror'],2662,House of 1000 Corpses,Two teenage couples traveling across the backwoods of Texas searching for urban legends of serial killers end up as prisoners of a bizarre and sadistic backwater family of serial killers. ,
3360,"['John Ericson', 'Ivor Francis', 'Judith Novgrod']",,"['Horror', 'Action', 'Thriller']",77156,Alien Zone,"A man who is having an affair with a married woman is dropped off on the wrong street when going back to his hotel. He takes refuge out of the rain when an old man invites him in. He turns out to be a mortician, who tells him the stories of the people who have wound up in his establishment over the course of four stories. ",
3361,"['Michael Stuhlbarg', 'Richard Kind', 'Fred Melamed']",,"['Comedy', 'Drama']",12573,A Serious Man,"A Serious Man is the story of an ordinary man's search for clarity in a universe where Jefferson Airplane is on the radio and F-Troop is on TV. It is 1967, and Larry Gopnik, a physics professor at a quiet Midwestern university, has just been informed by his wife Judith that she is leaving him. She has fallen in love with one of his more pompous acquaintances Sy Ableman. ",
3362,"['Bill Murray', 'Sissy Spacek', 'Robert Duvall']",,"['Comedy', 'Drama', 'Mystery']",44718,Get Low,"A movie spun out of equal parts folk tale, fable and real-life legend about the mysterious, 1930s Tennessee hermit who famously threw his own rollicking funeral party... while he was still alive. ",
3363,"['Julian Sands', 'Lori Singer', 'Richard E. Grant']",,"['Adventure', 'Comedy', 'Fantasy']",11342,Warlock,"A warlock flees from the 17th to the 20th century, with a witch-hunter in hot pursuit. A Warlock (Julian Sands) is taken captive in Boston, Massachusetts in 1691 by a witch-hunter Giles Redferne (Richard Grant).  He is sentenced to death for his activities, including the bewitching of Redferne's bride-to-be, but before the execution a demon appears and propels the Warlock forward in time to 20th century Los Angeles, California. Redferne follows through the portal. The Warlock attempts to assemble The Grand Grimoire, a Satanic book that will reveal the ""true"" name of God.  Redferne and the Warlock then embark on a cat-and-mouse chase with the Grand Grimoire, and Kassandra (Lori Singer), a waitress who encounters Giles while he's attempting to find Warlock. ",
3364,"['Gugu Mbatha-Raw', 'Nate Parker', 'Minnie Driver']",,"['Romance', 'Drama']",241771,Beyond the Lights,"Noni Jean is a hot new rising star. But not all is what it seems, and the pressure causes Noni to nearly fall apart - until she meets Kaz Nicol, a promising young cop and aspiring politician who's been assigned to her detail. Can Kaz's love give Noni the courage to find her own voice and break free to become the artist she was meant to be? ",
3365,"['Colin Firth', 'Julianne Moore', 'Nicholas Hoult']",,"['Drama', 'Romance']",34653,A Single Man,"Adapted from a 1964 novel of the same name, the film follows a day in the life of George Falconer, a British college professor reeling with the recent and sudden loss of his longtime partner. This traumatic event makes George challenge his own will to live as he seeks the console of close friend Charley who is struggling with her own questions about life. ",
3366,"['Willem Dafoe', 'Harvey Keitel', 'Barbara Hershey']",,['Drama'],11051,The Last Temptation of Christ,"Jesus, a humble Judean carpenter beginning to see that he is the son of God, is drawn into revolutionary action against the Roman occupiers by Judas -- despite his protestations that love, not violence, is the path to salvation. The burden of being the savior of mankind torments Jesus throughout his life, leading him to doubt. As he is put to death on the cross, Jesus is tempted by visions of an ordinary life married to Mary Magdalene. ",
3367,"['Shawn Hatosy', 'Amy Smart', 'Alec Baldwin']",,"['Romance', 'Comedy', 'Drama']",14578,Outside Providence,"In this coming-of-age comedy, Tim Dunphy is leading a go-nowhere existence, spending his days smoking pot and hanging out with his best friend, Drugs Delaney. But Tim's lazy days of getting high are jettisoned after a brush with the law convinces his blue-collar dad to send him to a Connecticut prep school. The one saving grace of the new school is Jane, a fellow student Tim falls for immediately. ",
3368,"['Aishwarya Rai Bachchan', 'Martin Henderson', 'Naveen Andrews']",,"['Drama', 'Comedy', 'Music']",57825,Bride & Prejudice,"A Bollywood update of Jane Austen's classic tale, in which Mrs. Bakshi is eager to find suitable husbands for her four unmarried daughters. When the rich single gentlemen Balraj and Darcy come to visit, the Bakshis have high hopes, though circumstance and boorish opinions threaten to get in the way of romance. ",
3369,"['Everlyn Sampi', 'Tianna Sansbury', 'Laura Monaghan']",,"['Adventure', 'Drama', 'Action']",9555,Rabbit-Proof Fence,"In 1931, three aboriginal girls escape after being plucked from their homes to be trained as domestic staff and set off on a trek across the Outback. ",
3370,"['Mick Partridge', 'Big Boi', 'Sherri Shepherd']",,['Comedy'],15581,Who's Your Caddy?,"When ""street smart"" rapper Christopher ""C-Note"" Hawkins (Big Boi) applies for a membership to all-white Carolina Pines Country Club, the establishment's proprietors are hardly ready to oblige him. ",
3371,"['Rutger Hauer', 'Kim Cattrall', 'Michael J. Pollard']",,"['Thriller', 'Action', 'Horror']",13006,Split Second,"In a futuristic London, the rising sea levels mean that large areas are under feet of water. Hauer plays a cop who previously lost his partner to some strange creature. Now the creature is back and its after him. ",
3372,"['Christopher Gorham', 'Anne Hathaway', 'Joe Folau']",,"['Action', 'Adventure', 'Drama']",16651,The Other Side of Heaven,"John H. Groberg, a middle class kid from Idaho Falls, crosses the Pacific to become a Mormon missionary in the remote and exotic Tongan island kingdom during the 1950's. He leaves behind a loving family and the true love of his life, Jean. Through letters and musings across the miles, John shares his humbling and sometimes hilarious adventures with ""the girl back home"", and her letters buoy up his spirits in difficult times. John must struggle to overcome language barriers, physical hardship and deep-rooted suspicion to earn the trust and love of the Tongan people he has come to serve. Throughout his adventure-filled three years on the islands, he discovers friends and wisdom in the most unlikely places. John H. Groberg's Tongan odyssey will change his life forever. ",
3373,"['Shah Rukh Khan', 'Preity Zinta', 'Rani Mukerji']",,"['Drama', 'Romance']",4251,Veer-Zaara,"The story of the love between Veer Pratap Singh, an Indian, and Zaara Hayaat Khan, a Pakistani...a love so great it knows no boundaries... ",
3374,"['Chiwetel Ejiofor', 'Tim Allen', 'Alice Braga']",,['Drama'],12400,Redbelt,"Is there room for principle in Los Angeles? Mike Terry teaches jujitsu and barely makes ends meet. His Brazilian wife, whose family promotes fights, wants to see Mike in the ring making money, but to him competition is degrading. A woman sideswipes Mike's car and then, after an odd sequence of events, shoots out the studio's window. Later that evening, Mike rescues an action movie star in a fistfight at a bar. In return, the actor befriends Mike, gives him a gift, offers him work on his newest film, and introduces Mike's wife to his own - the women initiate business dealings. Then, things go sour all at once, Mike's debts mount, and going into the ring may be his only option. ",
3375,"['John C. Reilly', 'Jonah Hill', 'Marisa Tomei']",,"['Comedy', 'Drama', 'Romance']",39053,Cyrus,"With John's social life at a standstill and his ex-wife about to get remarried, a down on his luck divorcée finally meets the woman of his dreams, only to discover she has another man in her life - her son. Before long, the two are locked in a battle of wits for the woman they both love-and it appears only one man can be left standing when it's over. ",
3376,"['Jack Warden', 'Jeremy James Kissner', 'Jesse James']",,"['Drama', 'Family']",104896,A Dog Of Flanders,"Poor but happy, young Nello and his grandfather live alone, delivering milk as a livelihood, in the outskirts of Antwerp, a city in Flanders (the Flemish or Dutch-speaking part of modern-day Belgium). They discover a beaten dog (a Bouvier, a large sturdy dog native to Flanders) and adopt it and nurse it back to health, naming it Patrasche, the middle name of Nello's mother Mary, who died when Nello was very young. Nello's mother was a talented artist, and like his mother, he delights in drawing, and his friend Aloise is his model and greatest fan and supporter. ",
3377,"['Greg Kinnear', 'Willem Dafoe', 'Rita Wilson']",,"['Drama', 'Crime']",14112,Auto Focus,"A successful TV star during the 1960s, former ""Hogan's Heroes"" actor Bob Crane projects a wholesome family-man image, but this front masks his persona as a sex addict who records and photographs his many encounters with women, often with the help of his seedy friend, John Henry Carpenter. This biographical drama reveals how Crane's double life takes its toll on him and his family, and ultimately contributes to his death ",
3378,"['Sienna Miller', 'Guy Pearce', 'Hayden Christensen']",,['Drama'],12271,Factory Girl,"In the mid-1960s, wealthy debutant Edie Sedgwick meets artist Andy Warhol. She joins Warhol's famous Factory and becomes his muse. Although she seems to have it all, Edie cannot have the love she craves from Andy, and she has an affair with a charismatic musician, who pushes her to seek independence from the artist and the milieu. ",
3379,"['John C. Reilly', 'Tilda Swinton', 'Ezra Miller']",,"['Drama', 'Thriller']",71859,We Need to Talk About Kevin,"The mother of a teenage sociopath who went on a high-school killing spree recalls her son's deranged behavior during childhood, as she deals with her grief. ",
3380,"['Hans Matheson', 'Samantha Barks', 'Lesley Manville']",,"['Drama', 'Family']",226354,The Christmas Candle,"Deep in the heart of the English countryside lies the enchanting village of Gladbury. Legend has it every 25 years an angel visits the village candlemaker and touches a single candle. Whoever lights this candle receives a miracle on Christmas Eve. But in 1890, at the dawn of the electric age, this centuries old legend may come to an end. ",
3381,"['Carla Gugino', 'Ellen Burstyn', 'Marley Shelton']",,"['Action', 'Drama']",48620,The Mighty Macs,"In the early 70s, Cathy Rush becomes the head basketball coach at a tiny, all-girls Catholic college. Though her team has no gym and no uniforms -- and the school itself is in danger of being sold -- Coach Rush looks to steer her girls to their first national championship. ",
3382,"['Tom Cruise', 'Jackie Earle Haley', 'John Stockwell']",,['Comedy'],33676,Losin' It,"Set in 1965, four Los Angeles school friends -- Woody, Dave, Spider and Wendell -- go on a series of misadventures when they head to Tijuana, Mexico, for a night of cruisin', causing trouble, and to lose their virginity. ",
3383,"['Naomi Watts', 'Samuel L. Jackson', 'Annette Bening']",,"['Drama', 'Romance']",37080,Mother and Child,"The lives of three women have a commonality: adoption. Karen is a physical therapist who regrets that, as a teenager, she gave up her daughter for adoption. Elizabeth was an adopted child and is now a successful lawyer, but her personal life lacks warmth. Lucy and her husband have failed to conceive and now hope to adopt a baby to make their family complete. ",
3384,"['Gene Hackman', 'Terence Hill', 'Catherine Deneuve']",,"['Action', 'Adventure', 'Drama']",25388,March or Die,"The French Foreign Legion, in the early 20s, is tasked to protect a group of Archaeologists in the middle east. After scenes depicting the hardship of day-to-day Foreign Legion life, and the ragtag collection of people who join, the local Arabs take offence at the Archaeologists and declare Jihad. A large battle takes place, with the inevitable last stand. ",
3385,"['Jean Reno', 'Valérie Lemercier', 'Christian Clavier']",,"['Fantasy', 'Comedy', 'Science Fiction']",11687,Les visiteurs,"This outrageous time-travel comedy follows the misadventures of a wacky medieval knight (Jean Reno) and his faithful servant when they are accidentally transported to contemporary times by a senile sorcererMayhem rules as these 12th-century visitors try adapting to the wildly confusing modern world. To avoid being stuck here for good, however, they soon begin an all-out cosmic assault on their former castle -- now a luxury hotel -- in their quest to return to the past ",
3386,"['Stephen Dorff', 'Chris Pontius', 'Erin Wasson']",,"['Comedy', 'Drama']",39210,Somewhere,A hard-living Hollywood actor re-examines his life after his 11-year-old daughter surprises him with a visit. ,
3387,"['Matt Czuchry', 'Jesse Bradford', 'Marika Dominczyk']",,"['Comedy', 'Drama']",30128,I Hope They Serve Beer in Hell,"Tucker decides to take an impromptu trip to celebrate his friend's bachelor party. He drags his friend into a lie with his fiancée, gets him into trouble and then abandons him in order to pursue a hilarious carnal interest. Tucker is disinvited to the wedding, and in order to get back in, Tucker has to find a way to balance his narcissism with the demands of friendship. ",
3388,"[""Scott 'Carrot Top' Thompson"", 'Courtney Thorne-Smith', 'Larry Miller']",,['Comedy'],31535,Chairman of the Board,A surfer becomes the head of a major company. ,
3389,"['Joseph Gordon-Levitt', 'Natalie Portman', 'Rainn Wilson']",,['Drama'],44835,Hesher,A young boy has lost his mother and is losing touch with his father and the world around him. Then he meets Hesher who manages to make his life even more chaotic. ,
3390,"['Jude Law', 'Demián Bichir', 'Richard E. Grant']",,"['Comedy', 'Crime', 'Drama']",192134,Dom Hemingway,"After spending 12 years in prison for keeping his mouth shut, notorious safe-cracker Dom Hemingway is back on the streets of London looking to collect what he's owed. ",
3391,"['Casey Affleck', 'Matt Damon']",,"['Mystery', 'Drama', 'Adventure']",1956,Gerry,Two friends named Gerry become lost in the desert after taking a wrong turn. Their attempts to find their way home only lead them into further trouble. ,
3392,"['Helena Bonham Carter', 'Olivia Williams', 'Paul Bettany']",,"['Drama', 'Romance']",24985,The Heart of Me,"Drama set in 1930s London with two sisters, Madeleine married to Rickie, and Dinah, who falls in love with him. Rickie and Dinah begin an affair which is to have repercussions throughout all their lives. ",
3393,"['Julianne Moore', 'Ellen Page', 'Steve Carell']",,"['Romance', 'Drama']",306745,Freeheld,New Jersey car mechanic Stacie Andree and her police detective girlfriend Laurel Hester both battle to secure Hester's pension benefits after she was diagnosed with a terminal illness. ,
3394,"['Kevin Kline', 'Paul Dano', 'Katie Holmes']",,['Comedy'],47088,The Extra Man,"THE EXTRA MAN is a sophisticated and moving comedy from filmmakers Shari Springer Berman and Robert Pulcini. THE EXTRA MAN follows Louis Ives (Paul Dano), a lonely dreamer who fancies himself the hero of an F. Scott Fitzgerald novel. When a deeply embarrassing incident forces him to leave his job at an exclusive Princeton prep school, Louis heads to New York City to make a fresh start. He quickly finds a 9 to 5 job at an environmental magazine, where he encounters an entrancing, green-obsessed co-worker Mary (Katie Holmes). ",
3395,"['Leonid Yarmolnik', 'Yuriy Tsurilo', 'Natalya Moteva']",,"['Drama', 'Science Fiction']",110402,Трудно быть богом,"A group of scientists is sent to the planet Arkanar to help the local civilization, which is in the Medieval phase of its own history, to find the right path to progress. Their task is a difficult one: they cannot interfere violently and in no case can they kill. The scientist Rumata tries to save the local intellectuals from their punishment and cannot avoid taking a position. As if the question were: what would you do in God's place? Director's statement Aleksei wanted to make this film his entire life. The road was a long one. This is not a film about cruelty, but about love. A love that was there, tangible, alive, and that resisted through the hardest of conditions. ",
3396,"['Sean Bean', 'Chris Hemsworth', 'Victoria Profeta']",,"['Crime', 'Thriller', 'Comedy']",27004,Ca$h,"A stroke of good luck turns lethal for Sam Phelan and his wife Leslie when they are faced with a life-changing decision that brings strange and sinister Pyke Kubic to their doorstep. As Pyke leads Sam and Leslie on a tumultuous adventure through the streets of Chicago, each are pulled deeper and deeper into a desperate spiral of deception and violence – all in the name of money. ",
3397,"['Gabriel Byrne', 'Emily Watson', 'Julie Walters']",,['Drama'],15013,Wah-Wah,"Set at the end of the 1960s, as Swaziland is about to receive independence from United Kingdom, the film follows the young Ralph Compton, at 12, through his parents' traumatic separation, till he's 14. The film is largely based on Richard E. Grant's own experiences as a teenager in Swaziland, where his father was head of education for the British government administration. ",
